# مفردات فئة المنتج بلغات الأسواق — product-category terms per market language (L1).
# الغرض: مِصفاةُ صلةِ الرابط بالمنتج (silk_style_contract.lead_relevant_to_product)
#   تحتاج كلماتِ المنتج بلغة السوق لا بالعربية والإنجليزية وحدهما: «Pastificio
#   Milano Srl» صانعُ معكرونة إيطاليّ حقيقيّ ولا تحمل تسميتُه كلمةً عربيةً ولا
#   إنجليزيةً واحدة — فبلا هذا الجدول يُحذَف موزّعٌ صحيح.
#
# **جدولُ مطابقةٍ لا مصدرَ أرقام** (نفس إعلان data/market_locale.csv): لا يُشتقّ
#   منه رقمٌ ولا سعرٌ ولا حكم. وأثرُه **إضافيٌّ فقط**: وجودُ الكلمة يُبقي رابطاً،
#   وغيابُها لا يحذف شيئاً بذاته (الحذفُ يحتاج نشاطاً مُصنَّفاً لفئةٍ أخرى).
#   فخطأُ ترجمةٍ هنا أقصى أثره أن يفوت إبقاءَ رابطٍ، لا أن يحذف رابطاً صحيحاً
#   ولا أن يختلق معطى.
#
# التغطية: فئاتُ فصول HS السبع (silk_ai_judge._HS_CATEGORY) × لغاتِ أسواق سِلك
#   الـ38 (data/market_locale.csv:lang_primary). صفٌّ غائب => محورُ اللغة
#   **يُعلَن متخطّى** لذلك السوق، ولا يُخمَّن.
#
# category: اسم الفئة كما في silk_ai_judge._HS_CATEGORY حرفياً.
# lang: رمز اللغة كما في market_locale.lang_primary.
# terms: كلماتٌ تجاريةٌ شائعةٌ للفئة، مفصولة بفواصل، بأحرفٍ صغيرة حيث انطبق.
# source: مصدرُ المفردة — lexical (مفردةُ لغةٍ عامة) أو trade-usage (عرفٌ تجاريّ).
category,lang,terms,source,note
منتج غذائي/زراعي,ar,"غذاء,أغذية,مواد غذائية,تموين,بقالة,محاصيل,زراعي,تمور,معكرونة,طحينة,عسل,زيت,حليب,ألبان,عصير,مكسرات",lexical,المفردة العربية العامة للفئة
منتج غذائي/زراعي,en,"food,foods,foodstuff,grocery,groceries,produce,agri,agricultural,dates,pasta,tahini,honey,oil,dairy,milk,juice,nuts,confectionery",lexical,
منتج غذائي/زراعي,fr,"alimentaire,alimentation,aliments,épicerie,agroalimentaire,pâtes,miel,huile,laitier,jus",lexical,
منتج غذائي/زراعي,es,"alimentacion,alimentos,alimentario,comestibles,ultramarinos,pasta,miel,aceite,lacteos,zumo",lexical,
منتج غذائي/زراعي,de,"lebensmittel,nahrungsmittel,feinkost,teigwaren,nudeln,honig,speiseöl,molkerei,saft",lexical,
منتج غذائي/زراعي,it,"alimentari,alimentare,pastificio,pasta,generi alimentari,miele,olio,latteria,succo,dolciaria",trade-usage,«pastificio» تسميةُ صانع المعكرونة في العرف التجاري الإيطالي
منتج غذائي/زراعي,nl,"levensmiddelen,voeding,voedingsmiddelen,kruidenier,pasta,honing,olie,zuivel,sap",lexical,
منتج غذائي/زراعي,tr,"gıda,gida,besin,bakkaliye,makarna,bal,yağ,yag,süt,sut,meyve suyu",lexical,
منتج غذائي/زراعي,id,"makanan,pangan,bahan makanan,sembako,pasta,madu,minyak,susu,jus",lexical,
منتج غذائي/زراعي,ms,"makanan,bahan makanan,runcit,pasta,madu,minyak,susu,jus",lexical,
منتج غذائي/زراعي,sw,"chakula,vyakula,mazao,asali,mafuta,maziwa,juisi",lexical,
منتج غذائي/زراعي,am,"ምግብ,የምግብ,ማር,ዘይት,ወተት",lexical,
منتج غذائي/زراعي,hi,"खाद्य,खाना,किराना,खाद्य पदार्थ,शहद,तेल,दूध",lexical,
منتج غذائي/زراعي,bn,"খাদ্য,খাবার,মুদি,মধু,তেল,দুধ",lexical,
منتج غذائي/زراعي,ur,"خوراک,غذائی,کریانہ,شہد,تیل,دودھ",lexical,
منتج غذائي/زراعي,th,"อาหาร,ของชำ,น้ำผึ้ง,น้ำมัน,นม",lexical,
منتج غذائي/زراعي,vi,"thực phẩm,thuc pham,tạp hóa,mật ong,dầu,sữa",lexical,
منتج غذائي/زراعي,ja,"食品,食料品,製菓,はちみつ,食用油,乳業",lexical,
منتج غذائي/زراعي,ko,"식품,식료품,꿀,식용유,유업",lexical,
